0 1:-2.1237	2:-2.7127	3:-0.31581	4:-0.40339	
1 1:-5.0491	2:-7.5365	3:-5.1452	4:-7.68	
1 1:-142.3679	2:-214.8477	3:-141.9329	4:-214.1911	
1 1:-27.4142	2:-26.972	3:-25.797	4:-25.3808	
1 1:-1662.049	2:-1034.0088	3:-1659.704	4:-1032.5499	
1 1:-12.8601	2:-4.621	3:3343.9096	4:1201.5633	
1 1:-7.9143	2:-8.11	3:-6.7428	4:-6.9096	
1 1:-2.1728	2:-3.2166	3:-4.1642	4:-6.1645	
1 1:-2638.4504	2:-6382.3744	3:-2639.3214	4:-6384.4811	
1 1:-43.008	2:-107.9048	3:-42.7512	4:-107.2604	
1 1:-0.31498	2:-0.25073	3:-1232.2283	4:-980.8873	
1 1:-25.0659	2:-30.1021	3:-24.9617	4:-29.9769	
1 1:0.30215	2:0.28776	3:-2.3397	4:-2.2282	
1 1:0.19921	2:0.39813	3:0.63052	4:1.2601	
1 1:-9.2763	2:-22.0567	3:-8.3706	4:-19.9034	
1 1:-0.27473	2:-0.23727	3:0.33641	4:0.29055	
1 1:-1.2524	2:-0.6537	3:-0.55964	4:-0.29211	
1 1:-2168.2334	2:-2320.786	3:-2170.0036	4:-2322.6808	
1 1:-15.1835	2:-33.0224	3:-15.6141	4:-33.9589	
1 1:-33.0799	2:-17.6734	3:-35.9678	4:-19.2163	
1 1:1.1479	2:5.0169	3:0.43855	4:1.9168	
1 1:-0.25423	2:-0.71778	3:-0.61955	4:-1.7492	
1 1:-5.6905	2:-13.9792	3:-5.2205	4:-12.8246	
1 1:-1.0011	2:-2.1912	3:0.088033	4:0.19269	
1 1:-5.0848	2:-3.9137	3:-6.9924	4:-5.3819	
1 1:-2229.8316	2:-2892.0777	3:-2230.5143	4:-2892.9632	
1 1:-3.6468	2:-0.99513	3:-5.6398	4:-1.539	
1 1:-2014.7501	2:-2162.7747	3:-2014.8364	4:-2162.8673	
1 1:0.1373	2:0.10114	3:-0.43375	4:-0.31952	
1 1:-1077.6166	2:-4898.4868	3:-1077.7448	4:-4899.0697	
1 1:-3129.7457	2:-11956.8332	3:-3129.8321	4:-11957.1632	
1 1:-0.53877	2:-0.69363	3:-0.26867	4:-0.3459	
1 1:-15.1694	2:-72.8218	3:-14.9968	4:-71.9929	
1 1:-1.9825	2:-1.4258	3:-1.8838	4:-1.3549	
1 1:-1.6507	2:-1.5472	3:-0.41023	4:-0.38452	
1 1:-0.39755	2:-0.65524	3:-1.1215	4:-1.8484	
1 1:-0.25896	2:-0.50051	3:-0.44804	4:-0.86596	
1 1:-3.1147	2:-2.0412	3:-3.6476	4:-2.3905	
1 1:1.3606	2:1.1091	3:2.4533	4:1.9998	
1 1:-3.451	2:-2.355	3:-5.9811	4:-4.0816	
1 1:-0.42375	2:-1.0786	3:-0.084636	4:-0.21542	
1 1:-1.8048	2:-1.67	3:-2.8121	4:-2.6021	
1 1:-1.1221	2:-2.2329	3:-1.9871	4:-3.9541	
1 1:-0.53248	2:-0.59049	3:-0.47685	4:-0.52879	
1 1:737.9616	2:873.4677	3:-2.553	4:-3.0218	
1 1:-1171.9931	2:-1992.8345	3:-1171.7484	4:-1992.4185	
1 1:-93.4346	2:-17.4712	3:-101.8715	4:-19.0488	
1 1:-53.073	2:-180.2388	3:-53.5042	4:-181.7031	
1 1:-2531.1886	2:-4115.516	3:-2532.2978	4:-4117.3195	
1 1:-0.10482	2:-0.54507	3:-0.3524	4:-1.8326	
1 1:-811.8172	2:-3167.8052	3:-811.1015	4:-3165.0127	
1 1:-19777.9835	2:-3994.2201	3:-19773.9587	4:-3993.4072	
1 1:-76.1918	2:-56.0499	3:-75.3814	4:-55.4538	
1 1:-7.1752	2:-9.0383	3:-10.0606	4:-12.673	
1 1:0.29639	2:0.15452	3:-0.4929	4:-0.25698	
1 1:-0.00060352	2:-1.7702	3:-0.0011663	4:-3.4211	
1 1:-3957.8303	2:-3388.9923	3:-0.82482	4:-0.70628	
1 1:-1.0884	2:-1.3077	3:-1.4602	4:-1.7543	
1 1:-2.8923	2:-2.1001	3:-0.30503	4:-0.22148	
1 1:2.2969	2:3.4301	3:-0.64617	4:-0.96496	
1 1:-29.7919	2:-28.9837	3:-29.072	4:-28.2834	
1 1:2052.5854	2:1245.0813	3:-87.7231	4:-53.2121	
1 1:-7.7637	2:-3.6724	3:-8.5698	4:-4.0537	
1 1:1.315	2:1.1927	3:-0.48966	4:-0.44411	
1 1:-26.0152	2:-27.6497	3:-26.2352	4:-27.8835	
1 1:-1761.17	2:-819.0588	3:-1760.3364	4:-818.6712	
1 1:-79.7049	2:-25.5923	3:-80.4617	4:-25.8353	
1 1:-18.9025	2:-11.9294	3:-20.0835	4:-12.6747	
1 1:-0.63107	2:-2.3231	3:0.10727	4:0.39488	
1 1:-194.3638	2:-105.1602	3:-186.7157	4:-101.0223	
1 1:0.10584	2:0.081784	3:0.99041	4:0.76531	
1 1:-9.1647	2:-6.3454	3:-8.5876	4:-5.9458	
1 1:0.18337	2:0.4748	3:0.40467	4:1.0478	
1 1:0.53882	2:2.5892	3:0.28681	4:1.3782	
1 1:-0.016457	2:-22.9269	3:-0.016508	4:-22.9986	
1 1:-0.50206	2:-0.97196	3:-1.359	4:-2.631	
1 1:-2888.8689	2:-2351.0087	3:-2889.0378	4:-2351.1462	
1 1:0.66639	2:0.68202	3:1.8592	4:1.9028	
1 1:-175.9409	2:-382.3221	3:-176.2625	4:-383.0209	
1 1:-2150.7576	2:-2265.2245	3:-2149.8651	4:-2264.2845	
1 1:-0.58028	2:-0.54942	3:-0.55591	4:-0.52635	
1 1:-7.8468	2:-26.272	3:-7.648	4:-25.6067	
1 1:0.1819	2:0.41939	3:0.17516	4:0.40385	
1 1:2.6644	2:3.0441	3:0.80771	4:0.9228	
1 1:-96.0774	2:-114.0919	3:-97.1734	4:-115.3934	
1 1:1.348	2:0.62288	3:-0.24843	4:-0.11479	
1 1:-3.7574	2:-2.6148	3:-1.585	4:-1.103	
1 1:-208.0988	2:-126.9037	3:-205.0274	4:-125.0306	
1 1:-41.9798	2:-28.6917	3:-42.1829	4:-28.8304	
1 1:-41.8914	2:-19.3482	3:-39.1463	4:-18.0803	
1 1:-0.95106	2:-3.4422	3:-0.88352	4:-3.1977	
1 1:-0.9665	2:-3.3872	3:-1.0254	4:-3.5934	
1 1:-1616.5355	2:-1991.2394	3:-1615.7815	4:-1990.3106	
1 1:-1536.7504	2:-2696.3141	3:-1536.8442	4:-2696.4788	
1 1:2199.5918	2:3761.757	3:2200.6765	4:3763.612	
1 1:2.8091	2:2.0576	3:-0.49917	4:-0.36563	
1 1:-0.92758	2:-0.85339	3:-1.2645	4:-1.1634	
1 1:0.11021	2:0.10874	3:-0.4177	4:-0.41214	
1 1:-8.1908	2:-4.2063	3:-8.2372	4:-4.2302	
1 1:-2.5746	2:-2.4501	3:-0.2927	4:-0.27855	
1 1:-48.9927	2:-131.9366	3:-48.695	4:-131.1349	
1 1:-0.55335	2:-1.2215	3:0.29359	4:0.64811	
1 1:-1.0899	2:-0.64127	3:-1.6491	4:-0.97031	
1 1:-1.6498	2:-0.92535	3:-1.2509	4:-0.70162	
1 1:-1.1619	2:-2.6339	3:-1.2943	4:-2.9341	
1 1:-0.42818	2:-0.39045	3:2.1751	4:1.9834	
1 1:-0.057276	2:-0.30752	3:-759.4657	4:-4077.6672	
1 1:-13.6338	2:-31.251	3:-14.1218	4:-32.3695	
1 1:-234.599	2:-100.4092	3:-240.376	4:-102.8817	
1 1:-2424.0722	2:-3558.3279	3:-2423.4999	4:-3557.4877	
1 1:-558.0457	2:-6720.7042	3:-557.206	4:-6710.5916	
1 1:-7.272	2:-14.8255	3:-7.1795	4:-14.6368	
1 1:0.19188	2:0.22555	3:0.76645	4:0.90094	
1 1:-1628.5979	2:-1599.6603	3:-1629.6906	4:-1600.7336	
1 1:-29.2794	2:-210.492	3:-29.0179	4:-208.6119	
1 1:-19.6588	2:-13.2513	3:-21.751	4:-14.6616	
1 1:-0.64258	2:-0.90746	3:0.031565	4:0.044576	
1 1:-0.056624	2:-35.931	3:0.93786	4:595.1184	
1 1:-13.6427	2:-12.524	3:-14.6008	4:-13.4036	
1 1:-4021.0281	2:-3286.0608	3:-4019.6211	4:-3284.911	
1 1:1624.4216	2:2839.49	3:-6.782	4:-11.8549	
1 1:560.9948	2:720.2033	3:560.2812	4:719.2872	
1 1:-10.4488	2:-22.1498	3:-11.7284	4:-24.8625	
1 1:2688.2996	2:2775.2779	3:-0.44536	4:-0.45976	
1 1:-19.8727	2:-45.9274	3:-21.9015	4:-50.6162	
1 1:208.143	2:1381.5282	3:-3.5624	4:-23.6448	
1 1:673.7429	2:3547.7407	3:673.1339	4:3544.5342	
1 1:-16.7133	2:-61.7823	3:-18.1406	4:-67.0586	
1 1:-0.46234	2:-1.0704	3:-1.6406	4:-3.7982	
1 1:-19.7389	2:-38.5557	3:-19.7492	4:-38.5758	
1 1:1554.2902	2:1060.8505	3:-16.494	4:-11.2576	
1 1:-1.0784	2:-0.48861	3:4205.403	4:1905.3637	
1 1:-2.9979	2:-4.0782	3:-3.56	4:-4.8428	
1 1:0.95238	2:0.2329	3:3.9147	4:0.95732	
1 1:-5591.0363	2:-6583.2422	3:-5591.7189	4:-6584.0459	
1 1:-2.1435	2:-2.4332	3:-0.28128	4:-0.3193	
1 1:-119.7655	2:-121.3113	3:-116.9883	4:-118.4982	
1 1:0.21163	2:0.2711	3:0.38065	4:0.48761	
1 1:-22.3156	2:-9.374	3:-24.792	4:-10.4142	
1 1:2.3064	2:2.4463	3:0.71865	4:0.76224	
1 1:1.767	2:1.5022	3:0.22248	4:0.18914	
1 1:-22.8134	2:-16.0952	3:-22.6741	4:-15.9969	
1 1:-0.20445	2:-0.20958	3:-0.12814	4:-0.13135	
1 1:-1.5441	2:-1.3384	3:-1.5188	4:-1.3165	
1 1:-51.1857	2:-143.9391	3:-50.2065	4:-141.1855	
1 1:-374.2872	2:-272.2478	3:-372.9084	4:-271.2449	
1 1:-16.3631	2:-22.3186	3:-13.8414	4:-18.879	
1 1:-775.2169	2:-2262.8038	3:-775.7805	4:-2264.4489	
1 1:-37.7189	2:-78.8165	3:-38.4698	4:-80.3857	
1 1:1.823	2:0.74641	3:-1.2635	4:-0.51732	
1 1:-43.3858	2:-70.3514	3:-41.1273	4:-66.6892	
1 1:-5104.0534	2:-2199.2367	3:-5103.8939	4:-2199.1679	
1 1:-8.8603	2:-33.3443	3:-8.6152	4:-32.4218	
1 1:0.14866	2:0.12297	3:0.54648	4:0.45208	
1 1:1.1233	2:1.131	3:0.6173	4:0.62153	
1 1:-4.741	2:-12.0528	3:-4.9785	4:-12.6565	
1 1:-103.8676	2:-69.6961	3:-103.2992	4:-69.3146	
1 1:-1334.0914	2:-1717.8805	3:-1334.2476	4:-1718.0817	
1 1:698.8048	2:1573.1358	3:698.7824	4:1573.0855	
1 1:-0.28694	2:-0.15313	3:2.1263	4:1.1347	
1 1:-1.8771	2:-3.1319	3:-1.6639	4:-2.776	
1 1:-5083.1363	2:-13208.9385	3:-5081.6759	4:-13205.1435	
1 1:0.62093	2:0.5659	3:0.88067	4:0.80263	
1 1:-2900.7166	2:-2466.3573	3:-2903.9544	4:-2469.1102	
1 1:-0.31824	2:-1.3636	3:-0.8079	4:-3.4618	
1 1:0.52208	2:0.69191	3:0.52906	4:0.70116	
1 1:0.51465	2:2.9216	3:0.059985	4:0.34053	
1 1:550.4464	2:2167.9658	3:-50.6537	4:-199.5027	
1 1:-15.9394	2:-18.9191	3:-17.3146	4:-20.5513	
1 1:-10.0766	2:-22.1034	3:-8.9988	4:-19.7393	
1 1:-28.3758	2:-64.2916	3:-28.0839	4:-63.6303	
1 1:-39.6454	2:-53.6792	3:-41.531	4:-56.2323	
1 1:-1175.9515	2:-1488.2287	3:-1176.5823	4:-1489.027	
1 1:-34.2966	2:-170.5102	3:-33.8127	4:-168.1045	
1 1:0.75266	2:0.55442	3:0.557	4:0.41029	
1 1:-1.2664	2:-2.7694	3:-1.1363	4:-2.4849	
1 1:689.4468	2:1380.9064	3:-7.998	4:-16.0194	
1 1:-86.1354	2:-56.1507	3:-90.0418	4:-58.6973	
1 1:1050.9968	2:843.2619	3:1.28	4:1.027	
1 1:-43.6903	2:-86.6192	3:-45.6694	4:-90.543	
1 1:0.76555	2:0.62998	3:930.6405	4:765.8333	
1 1:-26.7924	2:-25.7777	3:-27.745	4:-26.6943	
1 1:-0.58172	2:-0.69012	3:-1500.6823	4:-1780.3353	
1 1:-4.3475	2:-1.5589	3:-3.6099	4:-1.2944	
1 1:-532.0372	2:-2447.2155	3:-0.37797	4:-1.7386	
1 1:-24.6234	2:-38.1415	3:-24.2334	4:-37.5375	
1 1:-0.70042	2:-1.2989	3:-0.34273	4:-0.63558	
1 1:1.0988	2:0.50945	3:-0.40274	4:-0.18673	
1 1:-1.9055	2:-2.6301	3:-1.7991	4:-2.4833	
1 1:-0.003755	2:-9.6659	3:0.99505	4:2561.3926	
1 1:-0.25342	2:-0.53256	3:-0.22382	4:-0.47036	
1 1:-9.9045	2:-35.7295	3:-10.3235	4:-37.2412	
1 1:-0.34397	2:-0.3882	3:-0.12923	4:-0.14585	
1 1:0.54863	2:0.50916	3:0.7123	4:0.66106	
1 1:-10087.4979	2:-7952.2231	3:-10089.9801	4:-7954.1799	
1 1:-1.5421	2:-0.27742	3:-7.9785	4:-1.4353	
1 1:-1297.218	2:-3138.7521	3:-1298.4256	4:-3141.6741	
1 1:-3.0976	2:-2.8619	3:-3.9733	4:-3.671	
1 1:-15.0243	2:-18.7012	3:-15.2553	4:-18.9888	
1 1:-7.1216	2:-8.0839	3:-7.3388	4:-8.3304	
1 1:-0.71454	2:-1.4422	3:-1.3274	4:-2.6791	
1 1:-77.5324	2:-19.4373	3:-75.2667	4:-18.8693	
1 1:-791.3693	2:-1342.743	3:-792.2066	4:-1344.1638	
1 1:-136.2279	2:-0.081639	3:-136.1073	4:-0.081567	
1 1:-13.0825	2:-16.2158	3:-12.69	4:-15.7292	
1 1:3136.4275	2:2220.7005	3:2.3365	4:1.6543	
1 1:2295.6874	2:1784.6109	3:0.0097287	4:0.0075628	
1 1:-1.0404	2:-1.019	3:-0.86524	4:-0.84743	
1 1:-1.7577	2:-1.6504	3:-0.75965	4:-0.71329	
1 1:-27.8383	2:-178.4423	3:-27.7408	4:-177.8174	
1 1:-28.5682	2:-14.9724	3:-26.3466	4:-13.8081	
1 1:-1334.823	2:-1629.084	3:-1335.1886	4:-1629.5302	
1 1:-22.8828	2:-34.3741	3:-22.7113	4:-34.1165	
1 1:-40.43	2:-8.8351	3:-42.6768	4:-9.3261	
1 1:1.9415	2:1.0083	3:0.015123	4:0.0078542	
1 1:-0.019714	2:-21.8258	3:-0.019958	4:-22.0959	
1 1:-0.0017758	2:-0.0008066	3:4.4266	4:2.0106	
1 1:-11.7908	2:-17.443	3:1001.4852	4:1481.5717	
1 1:1609.6815	2:1499.9436	3:-0.98335	4:-0.91631	
1 1:-1.6492	2:-2.3524	3:-1.1526	4:-1.6441	
1 1:-17.8718	2:-27.6917	3:-17.5621	4:-27.2118	
1 1:-3.2467	2:-0.84674	3:-3.7301	4:-0.97282	
1 1:-2908.9534	2:-1653.193	3:-2909.1509	4:-1653.3052	
1 1:-9.009	2:-8.1277	3:-6.7035	4:-6.0477	
1 1:-1288.2603	2:-1089.8538	3:-1.2749	4:-1.0785	
1 1:-844.7084	2:-1408.2496	3:-845.0558	4:-1408.8288	
1 1:-0.14655	2:-0.059885	3:0.8987	4:0.36724	
1 1:-10919.3357	2:-6586.8112	3:-10926.0847	4:-6590.8824	
1 1:0.39343	2:0.37352	3:0.03336	4:0.031672	
1 1:2.0679	2:2.1174	3:1.4995	4:1.5354	
1 1:-46.1323	2:-53.6281	3:-47.1574	4:-54.8197	
1 1:-0.74111	2:-1.6805	3:-0.22009	4:-0.49908	
1 1:-0.81671	2:-0.48614	3:-2.3023	4:-1.3704	
1 1:-2.1124	2:-3.1338	3:-2.6812	4:-3.9777	
1 1:-1.5726	2:-1.1468	3:1.6849	4:1.2287	
1 1:1.5824	2:2.3428	3:1.2573	4:1.8615	
1 1:0.2785	2:0.29709	3:-2.7172	4:-2.8985	
1 1:-1.9698	2:-1.4471	3:-0.73641	4:-0.54101	
1 1:-1.2875	2:-1.0237	3:-1.0689	4:-0.84997	
1 1:-0.0062673	2:-0.014447	3:0.2773	4:0.6392	
1 1:-4.5246	2:-6.1681	3:-4.697	4:-6.4032	
1 1:-1592.3065	2:-2464.5911	3:-1593.9247	4:-2467.0958	
1 1:1.473	2:2.6131	3:0.14734	4:0.26138	
1 1:3398.1894	2:551.5221	3:3395.3109	4:551.055	
1 1:0.92164	2:1.7487	3:0.9856	4:1.8701	
1 1:-1224.9775	2:-1834.046	3:-1225.093	4:-1834.2189	
1 1:-1.1295	2:-0.67689	3:-0.088235	4:-0.052877	
1 1:-7.0461	2:-10.3396	3:-7.6888	4:-11.2828	
1 1:823.6318	2:2260.2532	3:-1.4156	4:-3.8848	
1 1:-14.1928	2:-51.2824	3:-13.876	4:-50.1378	
1 1:-16.9242	2:-35.799	3:-16.6899	4:-35.3033	
1 1:-15.42	2:-23.4104	3:-15.5539	4:-23.6137	
1 1:-2.0179	2:-1.4606	3:-0.18241	4:-0.13204	
1 1:-29.1773	2:-39.5437	3:-29.9287	4:-40.5621	
1 1:-20.068	2:-21.9401	3:-20.4279	4:-22.3336	
1 1:-25.6444	2:-58.8359	3:-24.5111	4:-56.2357	
1 1:-1737.9328	2:-2237.3361	3:-1737.7169	4:-2237.0582	
1 1:-6.0668	2:-19.1091	3:-6.747	4:-21.2516	
1 1:-13.2138	2:-20.1733	3:-12.9061	4:-19.7036	
1 1:-286.1951	2:-108.3341	3:-288.7497	4:-109.3011	
1 1:-80.7381	2:-116.5612	3:-80.9641	4:-116.8875	
1 1:-32.5175	2:-21.5688	3:-32.9601	4:-21.8624	
1 1:-1.6544	2:-0.56617	3:-0.98434	4:-0.33687	
1 1:-2279.6012	2:-1935.8937	3:-2280.9185	4:-1937.0124	
1 1:-0.00043799	2:-0.0013228	3:1.2875	4:3.8884	
1 1:-26460.2208	2:-27820.5307	3:-26455.836	4:-27815.9204	
1 1:0.99725	2:1168.6449	3:-0.00042965	4:-0.50349	
1 1:-2186.1263	2:-1461.5521	3:-2185.3298	4:-1461.0196	
1 1:5979.3147	2:763.4348	3:-100.6672	4:-12.8531	
1 1:-0.035416	2:-30.5038	3:-0.033767	4:-29.0839	
1 1:2271.5047	2:2448.934	3:-59.0371	4:-63.6486	
1 1:-43.2458	2:-201.6023	3:-43.0507	4:-200.6926	
1 1:-0.042602	2:-0.04259	3:-0.048577	4:-0.048562	
1 1:-522.7495	2:-234.1988	3:-524.8768	4:-235.1518	
1 1:-53.6947	2:-21.466	3:-53.2091	4:-21.2718	
1 1:-25.108	2:-95.0922	3:-25.4477	4:-96.3789	
1 1:-3.6555	2:-5.7953	3:-4.5226	4:-7.1699	
1 1:-0.068369	2:-0.068342	3:-0.073287	4:-0.073258	
1 1:-147.2831	2:-0.076101	3:-136.5135	4:-0.070536	
1 1:-21.9099	2:-24.3936	3:-21.5874	4:-24.0346	
1 1:-26.9912	2:-56.6491	3:-26.0259	4:-54.6233	
1 1:-42.6847	2:-37.0493	3:1238.5967	4:1075.0708	
1 1:10.027	2:11.3326	3:770.4124	4:870.7265	
1 1:-298.3892	2:-197.4822	3:-296.8854	4:-196.4869	
1 1:-18.2182	2:-5.9439	3:-18.9339	4:-6.1774	
1 1:-10.9454	2:-42.7606	3:-10.7254	4:-41.9013	
1 1:-93.8502	2:-380.2502	3:-93.3333	4:-378.1558	
1 1:1054.7313	2:798.2122	3:1054.1296	4:797.7568	
1 1:0.87834	2:0.87812	3:-0.11577	4:-0.11574	
1 1:-216.7229	2:-278.4599	3:-222.8106	4:-286.2819	
1 1:-0.064634	2:-38.9732	3:0.93175	4:561.8314	
1 1:917.8984	2:1438.3967	3:-52.269	4:-81.9084	
1 1:-90.0955	2:-222.4043	3:-92.1564	4:-227.4915	
1 1:568.3034	2:672.9855	3:-0.40514	4:-0.47977	
1 1:-13.2406	2:-41.4103	3:-13.939	4:-43.5948	
1 1:-122.7467	2:-81.6457	3:-120.1764	4:-79.936	
1 1:-0.013596	2:-0.013616	3:-0.013362	4:-0.013381	
1 1:-19.8608	2:-36.678	3:-18.8092	4:-34.7358	
1 1:-3.1268	2:-2.1118	3:3245.3211	4:2191.8772	
1 1:-8.7936	2:-18.1835	3:-8.0574	4:-16.6611	
1 1:-15.7272	2:-19.857	3:-17.2896	4:-21.8297	
1 1:493.4194	2:768.1696	3:493.1542	4:767.7568	
1 1:-6.5958	2:-23.1412	3:-6.4422	4:-22.6022	
1 1:-5.9674	2:-25.7298	3:-6.2323	4:-26.8716	
1 1:-1.8414	2:-0.64206	3:-1.7256	4:-0.60169	
1 1:-38.2573	2:-63.1806	3:-36.1723	4:-59.7373	
1 1:734.1539	2:0.93573	3:734.2436	4:0.93585	
1 1:-41.1201	2:-0.13671	3:-40.8781	4:-0.13591	
1 1:-9.4641	2:-57.115	3:-9.6178	4:-58.0426	
1 1:1085.6852	2:616.9849	3:-7.5578	4:-4.295	
1 1:-108.7281	2:-167.545	3:-106.4159	4:-163.982	
1 1:919.97	2:1952.7512	3:-11.7203	4:-24.8777	
1 1:-15.6106	2:-15.8687	3:-17.4844	4:-17.7735	
1 1:-63.4573	2:-389.2105	3:487.3881	4:2989.3597	
1 1:-7.0883	2:-7.3326	3:-8.5478	4:-8.8423	
1 1:-12.266	2:-23.8413	3:-11.8347	4:-23.0031	
1 1:0.070734	2:0.31814	3:-1137.7737	4:-5117.3714	
1 1:618.9947	2:1224.2444	3:618.8317	4:1223.922	
1 1:-0.79343	2:-0.58289	3:-0.77983	4:-0.5729	
1 1:-13.6478	2:-25.3221	3:-16.4725	4:-30.563	
1 1:-8.2543	2:-12.8115	3:-7.1052	4:-11.0281	
1 1:1316.9983	2:974.5028	3:1315.8156	4:973.6277	
1 1:-0.028913	2:-0.028899	3:-0.023818	4:-0.023807	
1 1:-1837.1487	2:-2561.8877	3:-1837.7048	4:-2562.6632	
1 1:-6.6929	2:-9.8156	3:-7.3012	4:-10.7078	
1 1:-35.432	2:-89.101	3:-35.4136	4:-89.0549	
1 1:-42.1314	2:-28.4533	3:1071.6049	4:723.7044	
1 1:-40.8346	2:-0.023673	3:-41.4866	4:-0.024051	
1 1:-15.7161	2:-9.1819	3:-17.974	4:-10.5011	
1 1:0.97245	2:765.9152	3:-0.026938	4:-21.2165	
1 1:-40.7818	2:-50.9135	3:-41.3283	4:-51.5958	
1 1:-53.1221	2:-76.1266	3:-51.6164	4:-73.9689	
1 1:-1.7881	2:-3.3814	3:-0.85147	4:-1.6101	
1 1:-54.8687	2:-106.1645	3:-55.0143	4:-106.4462	
1 1:0.97787	2:616.7572	3:0.97932	4:617.6755	
1 1:-17.2985	2:-46.855	3:-20.0813	4:-54.3926	
1 1:-26.1986	2:-67	3:-26.8544	4:-68.6771	
1 1:-3.5152	2:-0.014484	3:238.4302	4:0.9824	
1 1:-0.081509	2:-121.146	3:-0.081076	4:-120.5018	
1 1:-18.3354	2:-0.031646	3:-16.9581	4:-0.029269	
1 1:-51.0844	2:-83.1755	3:-52.787	4:-85.9477	
1 1:-88.404	2:-512.4322	3:-89.0273	4:-516.0452	
1 1:-85.6116	2:-168.3629	3:-84.576	4:-166.3264	
1 1:-0.051552	2:-0.051511	3:-0.05002	4:-0.049981	
1 1:0.87407	2:594.939	3:0.87556	4:595.953	
1 1:-0.07694	2:-0.076927	3:-0.076581	4:-0.076568	
1 1:-17.947	2:-56.4458	3:-17.3661	4:-54.619	
1 1:-12.1021	2:-20.5742	3:-12.9562	4:-22.0262	
1 1:-0.26545	2:-0.41104	3:683.8146	4:1058.8655	
1 1:-5.3097	2:-2.7786	3:-4.7419	4:-2.4815	
1 1:0.65392	2:0.41581	3:-0.20202	4:-0.12846	
1 1:-612.446	2:-1252.5763	3:-612.7789	4:-1253.2571	
1 1:0.052461	2:0.046704	3:1.1338	4:1.0094	
1 1:-734.9665	2:-912.6555	3:-734.9405	4:-912.6233	
1 1:0.54112	2:1.0338	3:0.094925	4:0.18136	
1 1:-2.8297	2:-2.9967	3:-6.2203	4:-6.5873	
1 1:-0.00076846	2:-0.87455	3:-0.00021712	4:-0.24709	
1 1:-12.1448	2:-24.1185	3:-15.2537	4:-30.2926	
1 1:-1375.3568	2:-2807.6264	3:-1374.2502	4:-2805.3676	
1 1:0.5002	2:0.31369	3:1.753	4:1.0994	
1 1:1139.5048	2:1501.9398	3:0.60729	4:0.80045	
1 1:0.61276	2:0.8969	3:-0.061649	4:-0.090235	
1 1:-1.4947	2:-2.6484	3:-0.6855	4:-1.2146	
1 1:0.0010702	2:1.0773	3:0.0003329	4:0.3351	
1 1:1.1808	2:0.65295	3:0.23769	4:0.13144	
1 1:-867.8657	2:-1910.6101	3:-868.0333	4:-1910.9791	
1 1:4.7344	2:1.4278	3:-0.49638	4:-0.1497	
1 1:2.4116	2:2.3765	3:-1.5826	4:-1.5596	
1 1:0.44088	2:1.9823	3:0.096928	4:0.43581	
1 1:1.2642	2:0.7394	3:0.10702	4:0.062596	
1 1:-8.1739e-05	2:-0.069818	3:0.00068872	4:0.58828	
1 1:1919.6247	2:578.9102	3:0.67948	4:0.20491	
1 1:-54.7632	2:-51.5327	3:-55.1528	4:-51.8994	
1 1:-0.14349	2:-0.18905	3:-0.16673	4:-0.21966	
1 1:-5.3359	2:-0.00347	3:1531.6385	4:0.99604	
1 1:-549.3312	2:-998.2417	3:-549.1268	4:-997.8704	
1 1:-10.4199	2:-9.4374	3:-9.4387	4:-8.5487	
1 1:-58.0613	2:-79.6298	3:481.868	4:660.8707	
1 1:-183.6837	2:-79.1099	3:-182.9293	4:-78.785	
1 1:-0.066587	2:-0.066646	3:-0.067931	4:-0.067992	
1 1:-51.1381	2:-57.6623	3:-51.4338	4:-57.9957	
1 1:-7.204	2:-0.028854	3:-7.2698	4:-0.029118	
1 1:1072.4014	2:2890.0181	3:-20.1877	4:-54.4039	
1 1:-0.031569	2:-43.9659	3:-0.030336	4:-42.2484	
1 1:-42.2584	2:-83.8197	3:-42.1521	4:-83.6088	
1 1:-26.1206	2:-0.10021	3:-28.1661	4:-0.10806	
1 1:1275.5353	2:1.0003	3:1275.4203	4:1.0002	
1 1:0.33357	2:0.4077	3:-1509.7035	4:-1845.1747	
1 1:-11.0591	2:-17.8205	3:-10.6881	4:-17.2227	
1 1:-0.058402	2:-0.058422	3:0.93992	4:0.94023	
1 1:1253.9412	2:983.9187	3:-175.7186	4:-137.8795	
1 1:0.22063	2:0.088174	3:1400.8327	4:559.8362	
1 1:7.3147	2:5.705	3:3.8591	4:3.0099	
1 1:-2087.8013	2:-0.99996	3:-2087.3342	4:-0.99974	
1 1:-139.1788	2:-127.0512	3:-137.3636	4:-125.3942	
1 1:-7.8666e-05	2:-0.059912	3:-1.3489e-05	4:-0.010273	
1 1:6.9318e-05	2:0.039328	3:-0.00051054	4:-0.28966	
1 1:-764.5997	2:-745.1036	3:-0.46262	4:-0.45083	
1 1:-17.5001	2:-16.6301	3:-17.3806	4:-16.5165	
1 1:802.9908	2:549.8478	3:802.9653	4:549.8303	
1 1:0.07222	2:0.038879	3:1.1312	4:0.60899	
1 1:-1.0004	2:-586.3432	3:-1.0001	4:-586.1229	
1 1:-0.89393	2:-0.77287	3:-0.59925	4:-0.51809	
1 1:-2.3652	2:-2.2709	3:-2.5481	4:-2.4465	
1 1:-57.6925	2:-0.043429	3:1270.2275	4:0.95619	
1 1:0.61927	2:0.42605	3:771.6893	4:530.9144	
